ticker,data_points,start_date,end_date,current_price,ytd_return,file_saved
CLSK,414,2024-01-02,2025-08-27,9.58,-11.948529411764708,daily_data_clsk_complete.csv
CSX,415,2024-01-02,2025-08-27,32.54,-6.0080878105141515,daily_data_csx_complete.csv
HST,415,2024-01-02,2025-08-27,17.37,-11.82741116751268,daily_data_hst_complete.csv
TNA,415,2024-01-02,2025-08-27,42.28,9.137842023748055,daily_data_tna_complete.csv
HPP,415,2024-01-02,2025-08-27,2.86,-69.89473684210526,daily_data_hpp_complete.csv
CNQ,415,2024-01-02,2025-08-27,31.29,-4.806814724672948,daily_data_cnq_complete.csv
RIVN,415,2024-01-02,2025-08-27,13.22,-37.34597156398104,daily_data_rivn_complete.csv
BEKE,415,2024-01-02,2025-08-27,17.79,13.167938931297707,daily_data_beke_complete.csv
XLV,415,2024-01-02,2025-08-27,136.97,-1.3042225104481942,daily_data_xlv_complete.csv
CRML,376,2024-02-28,2025-08-27,6.51,-58.00000000000001,daily_data_crml_complete.csv
TLT,415,2024-01-02,2025-08-27,86.65,-11.860441460685578,daily_data_tlt_complete.csv
PEP,415,2024-01-02,2025-08-27,147.64,-14.614539355734202,daily_data_pep_complete.csv
CORZ,400,2024-01-24,2025-08-27,14.2,312.79069767441865,daily_data_corz_complete.csv
ERIC,415,2024-01-02,2025-08-27,7.91,27.580645161290327,daily_data_eric_complete.csv
KVUE,415,2024-01-02,2025-08-27,20.75,-3.8015762633286987,daily_data_kvue_complete.csv
NOK,415,2024-01-02,2025-08-27,4.32,26.68621700879765,daily_data_nok_complete.csv
IONQ,415,2024-01-02,2025-08-27,41.42,240.625,daily_data_ionq_complete.csv
NCLH,415,2024-01-02,2025-08-27,24.88,35.80786026200873,daily_data_nclh_complete.csv
IPG,415,2024-01-02,2025-08-27,26.92,-18.670694864048333,daily_data_ipg_complete.csv
ACHR,415,2024-01-02,2025-08-27,9.15,57.487091222031,daily_data_achr_complete.csv
KMI,415,2024-01-02,2025-08-27,26.83,50.476724621424566,daily_data_kmi_complete.csv
HIVE,415,2024-01-02,2025-08-27,2.94,-33.029612756264235,daily_data_hive_complete.csv
SBUX,415,2024-01-02,2025-08-27,87.66,-6.416141774314088,daily_data_sbux_complete.csv
AAPL,415,2024-01-02,2025-08-27,230.49,24.15966386554622,daily_data_aapl_complete.csv
GAP,254,2024-08-22,2025-08-27,22.3,-8.756137479541737,daily_data_gap_complete.csv
PFE,415,2024-01-02,2025-08-27,25.07,-15.674402959973088,daily_data_pfe_complete.csv
LUMN,415,2024-01-02,2025-08-27,5.27,178.83597883597884,daily_data_lumn_complete.csv
TLRY,415,2024-01-02,2025-08-27,1.37,-38.288288288288285,daily_data_tlry_complete.csv
AUR,415,2024-01-02,2025-08-27,5.72,53.351206434316346,daily_data_aur_complete.csv
SLB,415,2024-01-02,2025-08-27,35.98,-30.781069642170067,daily_data_slb_complete.csv
KDP,415,2024-01-02,2025-08-27,29.72,-10.937968234941565,daily_data_kdp_complete.csv
TSLA,415,2024-01-02,2025-08-27,349.6,40.72940987038083,daily_data_tsla_complete.csv
PBR,415,2024-01-02,2025-08-27,12.2,-23.750000000000004,daily_data_pbr_complete.csv
MARA,415,2024-01-02,2025-08-27,15.85,-30.876580898386397,daily_data_mara_complete.csv
IBRX,415,2024-01-02,2025-08-27,2.34,-55.343511450381676,daily_data_ibrx_complete.csv
AMCR,415,2024-01-02,2025-08-27,8.51,-12.717948717948724,daily_data_amcr_complete.csv
KHC,415,2024-01-02,2025-08-27,27.89,-26.836306400839447,daily_data_khc_complete.csv
CMCSA,415,2024-01-02,2025-08-27,33.81,-22.578429127547516,daily_data_cmcsa_complete.csv
ET,415,2024-01-02,2025-08-27,17.57,26.5850144092219,daily_data_et_complete.csv
DOC,414,2024-01-02,2025-08-27,17.9,35.298563869992414,daily_data_doc_complete.csv
LKQ,415,2024-01-02,2025-08-27,32.08,-32.148900169204744,daily_data_lkq_complete.csv
BTBT,415,2024-01-02,2025-08-27,2.74,-28.083989501312335,daily_data_btbt_complete.csv
PATH,415,2024-01-02,2025-08-27,11.14,-53.19327731092437,daily_data_path_complete.csv
BITO,415,2024-01-02,2025-08-27,20.26,-7.4463225216994005,daily_data_bito_complete.csv
MRK,415,2024-01-02,2025-08-27,84.07,-25.759448957965382,daily_data_mrk_complete.csv
TEVA,415,2024-01-02,2025-08-27,18.05,69.16588566073104,daily_data_teva_complete.csv
CCCS,415,2024-01-02,2025-08-27,9.83,-11.441441441441436,daily_data_cccs_complete.csv
VTRS,415,2024-01-02,2025-08-27,10.42,-8.516242317822654,daily_data_vtrs_complete.csv
BMY,415,2024-01-02,2025-08-27,47.63,-9.723275208491277,daily_data_bmy_complete.csv
HPQ,415,2024-01-02,2025-08-27,27.11,-9.118337244384843,daily_data_hpq_complete.csv
BITF,415,2024-01-02,2025-08-27,1.34,-52.816901408450704,daily_data_bitf_complete.csv
BTE,415,2024-01-02,2025-08-27,2.18,-33.7386018237082,daily_data_bte_complete.csv
LABD,415,2024-01-02,2025-08-27,5.66,-39.72310969116081,daily_data_labd_complete.csv
WU,415,2024-01-02,2025-08-27,8.55,-29.513602638087388,daily_data_wu_complete.csv
TSLS,415,2024-01-02,2025-08-27,6.98,-62.87234042553192,daily_data_tsls_complete.csv
PYPL,415,2024-01-02,2025-08-27,69.65,13.32574031890661,daily_data_pypl_complete.csv
HAL,415,2024-01-02,2025-08-27,22.3,-38.26135105204872,daily_data_hal_complete.csv
RIG,415,2024-01-02,2025-08-27,3.17,-49.28,daily_data_rig_complete.csv
PACK,415,2024-01-02,2025-08-27,5.39,-0.7366482504604033,daily_data_pack_complete.csv
ECX,415,2024-01-02,2025-08-27,1.6,-42.446043165467614,daily_data_ecx_complete.csv
QUBT,415,2024-01-02,2025-08-27,14.81,1555.6735606484071,daily_data_qubt_complete.csv
SDS,415,2024-01-02,2025-08-27,15.45,-48.95936570862241,daily_data_sds_complete.csv
GIS,415,2024-01-02,2025-08-27,49.25,-26.217228464419474,daily_data_gis_complete.csv
AAL,415,2024-01-02,2025-08-27,13.13,-2.3065476190476053,daily_data_aal_complete.csv
RAY,322,2024-05-15,2025-08-27,1.05,-75.177304964539,daily_data_ray_complete.csv
RGTI,415,2024-01-02,2025-08-27,15.39,1564.8636953699697,daily_data_rgti_complete.csv
INFY,415,2024-01-02,2025-08-27,17.36,-3.9823008849557473,daily_data_infy_complete.csv
CPB,415,2024-01-02,2025-08-27,32.09,-28.27447474295932,daily_data_cpb_complete.csv
S,415,2024-01-02,2025-08-27,17.15,-33.70699652106688,daily_data_s_complete.csv
PCG,415,2024-01-02,2025-08-27,15.08,-16.45429362880887,daily_data_pcg_complete.csv
CMG,415,2024-01-02,2025-08-27,42.65,-5.000556854883631,daily_data_cmg_complete.csv
JBLU,415,2024-01-02,2025-08-27,5.29,0.379506641366234,daily_data_jblu_complete.csv
AMC,415,2024-01-02,2025-08-27,2.84,-53.51882160392799,daily_data_amc_complete.csv
PLUG,415,2024-01-02,2025-08-27,1.62,-64.70588235294117,daily_data_plug_complete.csv
VFC,415,2024-01-02,2025-08-27,14.94,-19.892761394101875,daily_data_vfc_complete.csv
CAG,415,2024-01-02,2025-08-27,19.16,-35.11683034202506,daily_data_cag_complete.csv
TZA,415,2024-01-02,2025-08-27,8.96,-55.9488692232055,daily_data_tza_complete.csv
LCID,415,2024-01-02,2025-08-27,2.08,-49.879518072289166,daily_data_lcid_complete.csv
MSTU,236,2024-09-18,2025-08-27,5.54,117.11016185288238,daily_data_mstu_complete.csv
RXRX,415,2024-01-02,2025-08-27,4.89,-50.455927051671736,daily_data_rxrx_complete.csv
CFLT,415,2024-01-02,2025-08-27,18.85,-17.033450704225338,daily_data_cflt_complete.csv
SPXS,415,2024-01-02,2025-08-27,4.17,-64.51063829787233,daily_data_spxs_complete.csv
MRVL,415,2024-01-02,2025-08-27,74.79,28.57142857142858,daily_data_mrvl_complete.csv
SPXU,415,2024-01-02,2025-08-27,14.92,-65.97491448118586,daily_data_spxu_complete.csv
NVDD,415,2024-01-02,2025-08-27,4.06,-82.18516893374287,daily_data_nvdd_complete.csv
NVO,415,2024-01-02,2025-08-27,56.44,-44.72627558515326,daily_data_nvo_complete.csv
FAZ,415,2024-01-02,2025-08-27,4.1,-69.6969696969697,daily_data_faz_complete.csv
ULTY,375,2024-02-29,2025-08-27,5.76,-70.23255813953489,daily_data_ulty_complete.csv
